,BlockName,Category,CreatedOn,Crop,DistrictName,KCCAns,QueryText,QueryType,Season,Sector,StateName
690,SIROHI                                            ,Others,2017-06-12 11:38:15.767,Others,SIROHI,THANX FOR CALLING KISAAN CALL CENTER,FOR CALLING KISAAN CALL CENTER,Weather,KHARIF,AGRICULTURE,RAJASTHAN
691,PINDWARA                                          ,Others,2017-06-12 12:34:50.627,Others,SIROHI,NO RAIN POSSIBILITY IN NEXT 3-4 DAYS BUT CLOUDY SKY,TELL ME ABOUT WEATHER INFORMATION ?,Weather,KHARIF,AGRICULTURE,RAJASTHAN
692,SIROHI                                            ,Pulses,2017-06-12 14:16:45.303,Green Gram (Moong Bean/ Moong),SIROHI,"VARIETY OF MOONG =SML 668,GM-4, RMG 492, RMG 268, RMG 344",TELL ME ABOUT VARIETY OF MOONG ?,Varieties,JAYAD,AGRICULTURE,RAJASTHAN
693,SHEOGANJ                                          ,Flowers,2017-06-12 14:54:36.543,Rose,SIROHI,VARITIES OF ROSE-BANK PINK,TELL M VARITIES OF ROSE,Seeds and Planting Material,KHARIF,HORTICULTURE,RAJASTHAN
694,PINDWARA                                          ,Others,2017-06-12 18:30:41.147,Others,SIROHI,RAIN POSSIBILITY UPTO NEXT 2-3 DAYS,TELL ME ABOUT WEATHER INFORMATION ?,Weather,KHARIF,AGRICULTURE,RAJASTHAN
695,SIROHI                                            ,Millets,2017-06-13 10:50:14.040,Pearl Millet (Bajra/Bulrush Millet/Spiked Millet),SIROHI,RAIN POSSIBILITY IN NEXT 2-3 DAYS BUT CLOUDY SKY,TELL ME ABOUT WEATHER INFORMATION ?,Weather,KHARIF,AGRICULTURE,RAJASTHAN
696,PINDWARA                                          ,Animal,2017-06-13 10:55:11.897,"Bovine(Cow,Buffalo)",SIROHI,18001806224-CONTACT NUMBER IN ANIMAL HUSBANDRY,TELL ME CONTACT NUMBER IN ANIMAL HUSBANDRY,Dairy Production,KHARIF,ANIMAL HUSBANDRY,RAJASTHAN
697,SIROHI                                            ,Fruits,2017-06-13 11:01:44.083,Mango,SIROHI,MICRONUTRIENT 100 GRAM / PLANT IN ROOT  ZONE,TELL ME NUTRIENT MANAGEMENT  ?,Nutrient Management,KHARIF,HORTICULTURE,RAJASTHAN
698,SIROHI                                            ,Others,2017-06-13 12:27:57.360,Others,SIROHI,"RAIN RAINFALL POSSIBILITY IN 5 DAYS IN YOUR DISTRICT ,BUT CLOUDLY SKY",TELL ME ABOUT WEATHER INFORMATION ?,Weather,JAYAD,AGRICULTURE,RAJASTHAN
699,SIROHI                                            ,Millets,2017-06-13 12:44:05.800,Pearl Millet (Bajra/Bulrush Millet/Spiked Millet),SIROHI,NO RAIN POSSIBILITY IN NEXT 3-4 DAYS BUT CLOUDY SKY,TELL ME ABOUT WEATHER INFORMATION ?,Weather,KHARIF,AGRICULTURE,RAJASTHAN
700,REODAR                                            ,Fruits,2017-06-13 14:14:15.407,Papaya,SIROHI,"VARIETY OF PAPAYA = TAIWAN 786, RED LADY, SURYA, KURG HONEYDEW, PUSA MEJESTIC",TELL ME VARIETY OF PAPAYA,Cultural Practices,KHARIF,HORTICULTURE,RAJASTHAN
701,SHEOGANJ                                          ,Others,2017-06-13 15:29:08.207,Others,SIROHI,RAIN POSSIBILITY UPTO NEXT 2-3 DAYS,TELL ME ABOUT WEATHER INFORMATION ?,Storage,KHARIF,AGRICULTURE,RAJASTHAN
702,REODAR                                            ,Others,2017-06-13 20:51:49.510,Others,SIROHI,RAIN POSSIBILITY IN NEXT 3-4 DAYS AND CLOUDY SKY,TELL ME ABOUT  WEATHER INFORMATION,Weather,KHARIF,AGRICULTURE,RAJASTHAN
703,REODAR                                            ,Others,2017-06-13 21:20:23.050,Others,SIROHI,NO RAIN POSSIBILITY IN NEXT 5 DAYS BUT CLOUDY SKY,TELL ME ABOUT WEATHER INFORMATION ?,Weather,KHARIF,AGRICULTURE,RAJASTHAN
704,ABU ROAD                                          ,Fiber Crops,2017-06-14 09:36:41.967,Cotton (Kapas),SIROHI,USE QUINOLPHOS 1.5% DUST 25 KG PER HA MIX IN SOIL,TELL ME INSECT CONTROL IN COTTON ?,	Plant Protection	,KHARIF,AGRICULTURE,RAJASTHAN
705,ABU ROAD                                          ,Fiber Crops,2017-06-14 10:16:23.850,Cotton (Kapas),SIROHI,SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER,TELL ME INSECT CONTROL IN COTTON ?,	Plant Protection	,KHARIF,AGRICULTURE,RAJASTHAN
706,SHEOGANJ                                          ,Pulses,2017-06-14 12:36:09.950,Green Gram (Moong Bean/ Moong),SIROHI,"VARIETY OF MOONG =SML 668,GM-4, RMG 492, RMG 268, RMG 344",TELL ME VARIETY OF MOONG,Varieties,KHARIF,AGRICULTURE,RAJASTHAN
707,SIROHI                                            ,Fodder Crops,2017-06-14 14:19:20.587,Guar,SIROHI,"VARIETY OF GUAR = RGC-1066, RGC-936, RGC-1017, RGC 1055, RGC 1038, HG-365, HG 2-20",TELL ME VAREITY OF GUAR ?,Varieties,KHARIF,AGRICULTURE,RAJASTHAN
708,SIROHI                                            ,Others,2017-06-14 15:13:59.907,Others,SIROHI,RAIN POSSIBILITY IN NEXT 3-4 DAYS BUT CLOUDY SKY,TELL ME ABOUT WEATHER INFORMATION ?,Weather,KHARIF,AGRICULTURE,RAJASTHAN
709,PINDWARA                                          ,Pulses,2017-06-14 19:52:02.300,Black Gram (urd bean),SIROHI,"Pulses Variety
VARIETY OF URD = PANT U-19, R.B.U.-38 (BARKHA)",TELL ME VARITY OF BLACK GRAM ?,Varieties,KHARIF,AGRICULTURE,RAJASTHAN
710,PINDWARA                                          ,Oilseeds,2017-06-15 11:09:32.510,Groundnut (pea nut/mung phalli),SIROHI,"VARIETY OF GROUNDNUT = GG 20, HNG 10, M 13, TG 37 A",TELL ME VAREITY OF GROUNDNUT ?,Varieties,JAYAD,AGRICULTURE,RAJASTHAN
711,SHEOGANJ                                          ,Others,2017-06-15 21:50:35.217,Others,SIROHI,LIGHT RAIN MAY BE NEXT 2-3 DAYS,TELL ME ABOUT WEATHER INFORMATION ?,Weather,KHARIF,AGRICULTURE,RAJASTHAN
712,SIROHI                                            ,Others,2017-06-16 08:31:07.447,Others,SIROHI,SOME CLOUD AND NO CHANCE TO RAIN FALL TODAY .,INFORMATION REGARDING TO WEATHER IN ?,Weather,KHARIF,AGRICULTURE,RAJASTHAN
713,SHEOGANJ                                          ,Others,2017-06-16 13:36:29.690,Others,SIROHI,"VARIETY OF BAJRA - HHB67-2, RHB-173 , RHB-173, RHB-121, GHB- 538",TELL ME VARIETY OF BAJRA,Varieties,KHARIF,AGRICULTURE,RAJASTHAN
